PMC	PMID
3419921	22900142
3421060	22576352
3421226	22847414
3424004	22919118
3425122	22916074
3425166	22923959
3426167	22678957
3427099	22869695
3428352	22952713
3429641	22623026
3430284	22942753
3434027	22849824
3434225	22252120
3436435	22554945
3438796	22973411
3439681	23095709
3441465	23028269
3442371	23049511
3443594	22410853
3444627	22910219
3445711	22805318
3447557	23024909
3449046	22411784
3458380	22932871
3460902	23029533
3462413	23049570
3463721	22584609
3466383	23010575
3474031	22972973
3477179	23112350
3477754	22508963
3477759	22495588
3478401	22959913
3478883	22797747
3480417	23112841
3481572	22809850
3482258	23127055
3482852	22697373
3484114	23078816
3488344	22424224
3490636	23144596
3491638	22621374
3491979	23145348
3493217	23162720
3496020	23102991
3496706	23152931
3498929	23155480
3504080	23185434
3505679	23020140
3506603	23189202
3507844	23193433
3512298	23227109
3513463	23054990
3513469	23054987
3522132	22799502
3523158	23304139
3524309	23034772
3524520	23251776
3525706	23264805
3527173	22534172
3528595	23184971
3529970	23001771
3531288	23300426
3531413	23300512
3532668	23860834
3534272	22915783
3536317	23365616
3540822	23316275
3540933	22779715
3541317	23336020
3543666	23125212
3544495	23085959
3545454	22993257
3556610	22871563
3559212	23515363
3566675	23190320
3567300	23099241
3575197	23426110
3575636	22594977
3578233	22508896
3578464	23482701
3579546	23439936
3589927	23077237
3593300	23495363
3594057	23180027
3597321	23554733
3601762	23526120
3602622	23525512
3606556	23128157
3606675	23276516
3609643	23157410
3612985	22482955
3615726	23565122
3620968	23281125
3642371	23184740
3649854	23667272
3656979	23210529
3667994	23729843
3669595	22186502
3683826	22227973
3684047	22937875
3686139	23795207
3689265	23083204
3695068	23224250
3699892	23833762
3703956	22531754
3705975	22482660
3706308	23853387
3712732	24213498
3717315	22482659
3717320	22938372
3727051	23184417
3738410	23935264
3776320	24058326
3786397	22772714
3820568	24278670
3823217	21883898
3839850	22401755
3849033	22819498
3859246	24348878
3877847	23285734
3880148	23154100
3901127	24710552
3911772	22750848
3936579	23073704
3952945	24634549
3953139	22507202
3963433	23201945
3985137	24741377
3992830	23088273
4003466	22250882
4026933	22594976
4030923	24955748
4035810	22371337
4074745	24151838
4086832	22893380
4087289	23212989
4112380	25076811
4149418	22313673
4174537	22394561
4244606	25435818
4306579	23069708
4445074	23366101
4557866	23186252
4875147	22589056
5448925	28817062
5944335	22811477
6496934	22783948
3540767	23316141
3544844	23341900
3551852	23349919
3554853	23314575
3562669	23401782
3565802	23097504
3569957	23514704
3580827	23444340
3580867	23457423
3595087	23504404
3595229	23554954
3597436	23392181
3597536	23516345
3597547	23516352
3597581	23516569
3598098	23508803
3599551	23497147
3600576	23508546
3604741	23465826
3609613	23216214
3610919	23542907
3612085	23555740
3612911	23555184
3614452	23433433
3615073	23565142
3615222	23565505
3615386	23549373
3617419	23561517
3621683	23517522
3621899	23593296
3625890	23584574
3627127	23596570
3627355	23370699
3627521	23638336
3627562	23355611
3628340	23613892
3628868	23613745
3631244	23653487
3632607	23630594
3633011	23734974
3636240	23634200
3638469	24427517
3638474	24427522
3638538	23350630
3644085	23591891
3650652	23717812
3651499	23610423
3652094	23436330
3656359	23730620
3664904	23712735
3667273	23755039
3670262	23727729
3673480	23745144
3675739	23292636
3676103	23596304
3676693	23400805
3681932	23785479
3683024	23799032
3686808	23840317
3689791	23822503
3689917	23430363
3691442	23605950
3691759	23497233
3696887	23380852
3699427	23773421
3699863	23643604
3700089	23442191
3701774	23700210
3701879	23847545
3702668	23633490
3702780	23378147
3704097	23847741
3705428	23512132
3705800	23720192
3705834	23722647
3705864	24231902
3705867	23720151
3705880	23720059
3708706	23719889
3711085	23583774
3713319	23935704
3716785	23822289
3720805	23728495
3725793	23544890
3731322	23936292
3732096	23892955
3733394	23930136
3734056	23880133
3745259	23620203
3745451	23976987
3750497	23559243
3750734	23212313
3751956	24404048
3752114	23972857
3754467	23884640
3755162	23918507
3758413	23623569
3759366	23911071
3760036	23497987
3760710	23860772
3761353	23656993
3761643	23940372
3770300	23566802
3771993	24069154
3772068	24068903
3772900	24404058
3776016	23559519
3777136	24082888
3777891	24069415
3779115	23732649
3781175	24073014
3781184	23695489
3785226	24496479
3785891	24048004
3786039	23559023
3787867	23925524
3789722	24098388
3791287	24179865
3791487	24109591
3793170	24130532
3794839	24124360
3795818	24001932
3795835	23608680
3797531	24137172
3800026	23338803
3804344	24159244
3804607	24205248
3806500	24163499
3807567	24187539
3807706	23672482
3808431	24204866
3808713	24224167
3809323	23531170
3811110	24187440
3817246	24223791
3817597	24244914
3818793	23915375
3819142	23776086
3824172	23881247
3824645	24209865
3828142	24244120
3828625	24195863
3832300	24247810
3832622	24260407
3833986	24260097
3835707	24294605
3836695	24277996
3840932	24385489
3842163	24348416
3842407	23784936
3843069	24129579
3844944	24292152
3845113	24218566
3847279	24004852
3848842	24015873
3848918	24067087
3849427	24312630
3849984	24070420
3851652	24080280
3852252	24324722
3854456	24339757
3855082	23636471
3855150	23463540
3856835	24255110
3858261	24339957
3861718	24023389
3863975	24128749
3870683	24297894
3870804	23473498
3871684	24376770
3872764	24099799
3873945	24386223
3874547	24029057
3875631	23896936
3878164	23842693
3878834	24330479
3883546	24415847
3883552	24403830
3884525	24403856
3893229	23575266
3894569	24314553
3899884	24079890
3905772	24343223
3908722	24204016
3915835	24511380
3926362	24554920
3926439	24080279
3932315	24269333
3933588	24343770
3942367	24006341
3947376	24177351
3951302	23640833
3960002	24660039
3961564	24126844
3967739	23683407
3970425	24256862
3976705	24384125
3980196	24182772
3983047	24352111
3988951	23855984
3992004	24325427
3994188	24210474
4008670	24361666
4011392	24812638
4013201	24240004
4013253	24216681
4014535	24275434
4017010	24284199
4018201	24833810
4019075	24833890
4024103	24296275
4037407	23537666
4039626	24292631
4040352	23618629
4045245	23989955
4046621	23963311
4049096	23469853
4051304	24926434
4063934	24357156
4086324	23783520
4086802	23665802
4111255	24030424
4112130	25075381
4137973	24366171
4157590	23809004
4190676	25309947
4199206	25328916
4232942	25404996
4259120	25505358
4297107	26069648
4324506	24304856
4364034	23878007
4476524	24111161
4582033	24127293
5101024	24763546
5552073	28804160
5944333	23844746
6330111	23907806
6421845	23292359
6830739	31693014
6869218	23671038
8667671	34909434
9555824	36237603
10365416	25642491
3879207	24391522
3881608	24395588
3887378	24406374
3888406	24427289
